10.205.18.11,qk-oracle,QK-ORACLE-01.IDC01
10.205.18.12,qk-oracle,QK-ORACLE-02.IDC01
10.205.18.13,qk-oracle,QK-ORACLE-03.IDC01
10.205.18.14,qk-oracle,QK-ORACLE-04.IDC01
10.205.18.15,qk-oracle,QK-ORACLE-05.IDC01
10.205.18.16,qk-zk,QK-REDIS-01.IDC01
10.205.18.17,qk-mcached,QK-REDIS-02.IDC01
10.205.18.18,qk-activemq,QK-ACTIVEMQ-01.IDC01
10.205.18.19,qk-activemq,QK-ACTIVEMQ-02.IDC01
10.205.18.20,qk-rocketmq,QK-ROCKETMQ-01.IDC01
10.205.18.21,qk-rocketmq,QK-ROCKETMQ-02.IDC01
10.205.18.51,qk-cms,QK-CMS-01.IDC01
10.205.18.52,qk-acc,QK-ACC-01.IDC01
10.205.18.53,qk-opt-stat,QK-OPT-STAT-01.IDC01
10.205.18.54,qk-opt-bill,QK-OPT-BILL-01.IDC01
10.205.18.55,qk-opt-order,QK-OPT-ORDER-01.IDC01
10.205.18.56,qk-opt-scan,QK-OPT-SCAN-01.IDC01
10.205.18.57,qk-wbms,QK-WBMS-01.IDC01
10.205.18.58,qk-upload,QK-UPLOAD-01.IDC01
10.205.18.59,qk-upload,QK-UPLOAD-02.IDC01
10.205.18.60,qk-around,QK-COMET-01.IDC01
10.205.34.11,qk-mongodb,QK-MONGODB-01.IDC01
10.205.34.12,qk-mongodb,QK-MONGODB-02.IDC01
10.205.34.13,ddp-mysql,DDPNew-MYSQL-01.IDC01
10.205.34.14,ddp-mysql,DDPNew-MYSQL-02.IDC01
10.205.34.15,qk-mysql,QK-MYSQL-03.IDC01
10.205.34.16,qk-mysql,QK-MYSQL-04.IDC01
10.205.54.138,qk-cms,QK-CMS-08.IDC01
10.205.54.79,qk-cms,qk.jboss.qk-cms.09.idc01
10.205.40.57,qk-cms,QK-CMS-05.IDC01
10.205.18.162,qk-opt-bill,qk.jboss.opt-bill.10.idc01
10.205.18.163,qk-opt-bill,qk.jboss.opt-bill.11.idc01
10.205.40.62,qk-opt-bill,qk.jboss.qk-opt-bill.09.idc01
10.205.40.58,qk-opt-bill,QK-OPT-BILL-05.IDC01
10.205.40.100,qk-opt-order,QK-OPT-ORDER-04.IDC01
10.205.40.99,qk-opt-order,QK-OPT-ORDER-03.IDC01
10.205.40.59,qk-opt-scan,QK-OPT-SCAN-05.IDC01
10.205.40.75,qk-opt-stat,QK-OPT-STAT-02.IDC01
10.205.40.76,qk-opt-stat,QK-OPT-STAT-03.IDC01
10.205.40.60,qk-site,QK-SITE-07.IDC01
10.205.40.77,qk-redis,QK-REDIS-PRS-01.IDC01
10.205.18.188,qk-opt-order,qk.jboss.opt-order.05.idc01
10.205.40.73,qk-around,QK-SMSP-02.IDC01
10.205.40.65,qk-around,QK-H5-02.IDC01
10.205.55.128,ucp-web,CCP-WEB-01.IDC01
10.205.55.130,ucp-redis,CCP-REDIS-01.IDC01
10.205.55.131,ucp-redis,REDIS-02.IDC01
10.205.55.132,ucp-mysql,CCP-MYSQL-IDC01
10.205.55.133,ucp-nginx,CCP-NGINX
10.205.55.178,ucp-web,CCP-WEB-03.IDC01
10.205.55.188,ucp-job,CCP-JOB-02.IDC01
10.205.70.55,ucp-web,CCP-WEB-04.IDC01
10.205.70.56,ucp-mysql,UCP-MYSQL.IDC01
10.205.55.129,ucp-web,CCP-WEB-02.IDC01
10.205.55.187,ucp-job,CCP-JOB-01.IDC01
10.205.71.77,ucp-mysql,ucp.mysql.mysql.02.idc01
10.205.70.69,crm-wx-job,wx.tomcat.wx-job.01.idc01
10.205.70.71,crm-wx-web,wx.tomcat.crm-wx-web.04.idc01
10.205.70.72,crm-wx-web,wx.tomcat.crm-wx-web.05.idc01
10.205.70.75,wx-redis,wx.redis.redis.01.idc01
10.205.70.76,wx-redis,wx.redis.redis.02.idc01
10.205.70.77,prod3,wx.tomcat.wx-client.01.idc01
10.205.34.19,wx-oracle,ZJ-ORACLE-01.IDC01
